FileType	fastq	Read submission file type
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	library_layout	file_name	file_md5
20210618_R941_Mix	PRJEB48183	MinION	Mix	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210618_R941_Mix.fastq.gz	b6623eba7c0ab9fc2178506eb1b3395c
20210619_R941_prp43	PRJEB48183	MinION	prp43	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210619_R941_prp43.fastq.gz	d867c3a660cb4e1bfae4c29888bd8bae
20210716_R941_MIX	PRJEB48183	MinION	MIX	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210716_R941_MIX.fastq.gz	2520102a61361ff1ca2f02760b1069b5
20210717_R941_YS602_18_YPD	PRJEB48183	MinION	YS602_18_YPD	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210717_R941_YS602_18_YPD.fastq.gz	342ca3af2c6f34c700e35db100f33b3d
20210719_R941_prp16_18deg_YPD	PRJEB48183	MinION	prp16_18deg_YPD	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210719_R941_prp16_18deg_YPD.fastq.gz	1f844ebb64bb76f25230263994a624c7
20210720_R941_spp382_YPD	PRJEB48183	MinION	spp382_YPD	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210720_R941_spp382_YPD.fastq.gz	f5963d9a875206c03cf9452397e3c3d8
20210722_R941_YS602_18_YPD2	PRJEB48183	MinION	YS602_18_YPD2	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210722_R941_YS602_18_YPD2.fastq.gz	88e6add91bd18fb6b8209755fb807b03
20210729_R941_dbr1d_YPD	PRJEB48183	MinION	dbr1d_YPD	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210729_R941_dbr1d_YPD.fastq.gz	dab0918403a09ab5791b9f79121ec83d
20210730_R941_sqs1d_YPD	PRJEB48183	MinION	sqs1d_YPD	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210730_R941_sqs1d_YPD.fastq.gz	1a10f5c580f270d649786a9e852672a8
20210824_R941_snR45d_YPD	PRJEB48183	MinION	snR45d_YPD	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210824_R941_snR45d_YPD.fastq.gz	55adac1d221c77552ece6b41706a858b
20210825_R941_mutant448	PRJEB48183	MinION	mutant448	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210825_R941_mutant448.fastq.gz	4e553b4357d63866a00d5e6fd8f12fb0
20210902_R941_snR4d_alpha_YPD	PRJEB48183	MinION	snR4d_alpha_YPD	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210902_R941_snR4d_alpha_YPD.fastq.gz	99f2820bac92b872d1d4405ed2d4d746
20210930_R941_YS602_WT_repeat2	PRJEB48183	MinION	YS602_WT_repeat2	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210930_R941_YS602_WT_repeat2.fastq.gz	7d9abf3ae23991113b68a5a38f8ac3ef
20211001_R941_YS602_WT_repeat3	PRJEB48183	MinION	YS602_WT_repeat3	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20211001_R941_YS602_WT_repeat3.fastq.gz	be43d7cd3c0d4223f8578a199976c154
20211006_R941_pxr1d_YPD	PRJEB48183	MinION	pxr1d_YPD	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20211006_R941_pxr1d_YPD.fastq.gz	cbbcd83cb92dc73785c832accd5fa4d2
20211007_R941_YS602_18_YPD3	PRJEB48183	MinION	YS602_18_YPD3	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20211007_R941_YS602_18_YPD3.fastq.gz	2f1921b5e742bfe40b47997e25544203
20211008_R941_prp43_18deg_YPD_repeat2	PRJEB48183	MinION	prp43_18deg_YPD_repeat2	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20211008_R941_prp43_18deg_YPD_repeat2.fastq.gz	7b629f4d1f6693682f12f674c5ce42fb
20211011_R941_dbp3d_YPD_repeat2	PRJEB48183	MinION	dbp3d_YPD_repeat2	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20211011_R941_dbp3d_YPD_repeat2.fastq.gz	617d0d23cd67f0a2ddaadcacee03f06d
20211021_R941_pxr1d_YPD_repeat2	PRJEB48183	MinION	20211021_R941_pxr1d_YPD_repeat2	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20211021_R941_pxr1d_YPD_repeat2.fastq.gz	9e29f018eecebb979dae942894919ef7
									
									
